variavel|descricao_var|codigo|descricao_cod
competencia|Competência da movimentação (anteriormente competência)||
regiao|Região geográfica de acordo com o código do IBGE|1|Norte
regiao|Região geográfica de acordo com o código do IBGE|2|Nordeste
regiao|Região geográfica de acordo com o código do IBGE|3|Sudeste
regiao|Região geográfica de acordo com o código do IBGE|4|Sul
regiao|Região geográfica de acordo com o código do IBGE|5|Centro-Oeste
regiao|Região geográfica de acordo com o código do IBGE|9|Não identificado
uf|Unidade da federação de acordo com o código do IBGE|11|Rondônia
uf|Unidade da federação de acordo com o código do IBGE|12|Acre
uf|Unidade da federação de acordo com o código do IBGE|13|Amazonas
uf|Unidade da federação de acordo com o código do IBGE|14|Roraima
uf|Unidade da federação de acordo com o código do IBGE|15|Pará
uf|Unidade da federação de acordo com o código do IBGE|16|Amapá
uf|Unidade da federação de acordo com o código do IBGE|17|Tocantins
uf|Unidade da federação de acordo com o código do IBGE|21|Maranhão
uf|Unidade da federação de acordo com o código do IBGE|22|Piauí
uf|Unidade da federação de acordo com o código do IBGE|23|Ceará
uf|Unidade da federação de acordo com o código do IBGE|24|Rio Grande do Norte
uf|Unidade da federação de acordo com o código do IBGE|25|Paraíba
uf|Unidade da federação de acordo com o código do IBGE|26|Pernambuco
uf|Unidade da federação de acordo com o código do IBGE|27|Alagoas
uf|Unidade da federação de acordo com o código do IBGE|28|Sergipe
uf|Unidade da federação de acordo com o código do IBGE|29|Bahia
uf|Unidade da federação de acordo com o código do IBGE|31|Minas gerais
uf|Unidade da federação de acordo com o código do IBGE|32|Espírito Santo
uf|Unidade da federação de acordo com o código do IBGE|33|Rio de Janeiro
uf|Unidade da federação de acordo com o código do IBGE|35|São Paulo
uf|Unidade da federação de acordo com o código do IBGE|41|Paraná
uf|Unidade da federação de acordo com o código do IBGE|42|Santa Catarina
uf|Unidade da federação de acordo com o código do IBGE|43|Rio Grande do Sul
uf|Unidade da federação de acordo com o código do IBGE|50|Mato Grosso do Sul
uf|Unidade da federação de acordo com o código do IBGE|51|Mato Grosso
uf|Unidade da federação de acordo com o código do IBGE|52|Goiás
uf|Unidade da federação de acordo com o código do IBGE|53|Distrito Federal
uf|Unidade da federação de acordo com o código do IBGE|99|Não identificado
municipio|Código do Município|110001|Ro-Alta Floresta D Oeste
municipio|Código do Município|110002|Ro-Ariquemes
municipio|Código do Município|110003|Ro-Cabixi
municipio|Código do Município|110004|Ro-Cacoal
municipio|Código do Município|110005|Ro-Cerejeiras
municipio|Código do Município|110006|Ro-Colorado do Oeste
municipio|Código do Município|110007|Ro-Corumbiara
municipio|Código do Município|110008|Ro-Costa Marques
municipio|Código do Município|110009|Ro-Espigao D Oeste
municipio|Código do Município|110010|Ro-Guajara-Mirim
municipio|Código do Município|110011|Ro-Jaru
municipio|Código do Município|110012|Ro-Ji-Parana
municipio|Código do Município|110013|Ro-Machadinho D Oeste
municipio|Código do Município|110014|Ro-Nova Brasilandia D Oeste
municipio|Código do Município|110015|Ro-Ouro Preto do Oeste
municipio|Código do Município|110018|Ro-Pimenta Bueno
municipio|Código do Município|110020|Ro-Porto Velho
municipio|Código do Município|110025|Ro-Presidente Medici
